
BISECTION


Results:
| iter  |        a       |       xm       |        b       |      f(Xm)     |       E        |
|   1.0 |  0.50000000000 |  0.75000000000 |  1.00000000000 | -0.11839639385 |  0.25000000000 |
|   2.0 |  0.75000000000 |  0.87500000000 |  1.00000000000 | -0.03681769076 |  0.12500000000 |
|   3.0 |  0.87500000000 |  0.93750000000 |  1.00000000000 |  0.00063391616 |  0.06250000000 |
|   4.0 |  0.87500000000 |  0.90625000000 |  0.93750000000 | -0.01777228923 |  0.03125000000 |
|   5.0 |  0.90625000000 |  0.92187500000 |  0.93750000000 | -0.00848658221 |  0.01562500000 |
|   6.0 |  0.92187500000 |  0.92968750000 |  0.93750000000 | -0.00390535863 |  0.00781250000 |
|   7.0 |  0.92968750000 |  0.93359375000 |  0.93750000000 | -0.00163043812 |  0.00390625000 |
|   8.0 |  0.93359375000 |  0.93554687500 |  0.93750000000 | -0.00049693532 |  0.00195312500 |
|   9.0 |  0.93554687500 |  0.93652343750 |  0.93750000000 |  0.00006882244 |  0.00097656250 |
|  10.0 |  0.93554687500 |  0.93603515625 |  0.93652343750 | -0.00021397351 |  0.00048828125 |
|  11.0 |  0.93603515625 |  0.93627929688 |  0.93652343750 | -0.00007255479 |  0.00024414062 |
|  12.0 |  0.93627929688 |  0.93640136719 |  0.93652343750 | -0.00000186098 |  0.00012207031 |
|  13.0 |  0.93640136719 |  0.93646240234 |  0.93652343750 |  0.00003348203 |  0.00006103516 |
|  14.0 |  0.93640136719 |  0.93643188477 |  0.93646240234 |  0.00001581085 |  0.00003051758 |
|  15.0 |  0.93640136719 |  0.93641662598 |  0.93643188477 |  0.00000697501 |  0.00001525879 |
|  16.0 |  0.93640136719 |  0.93640899658 |  0.93641662598 |  0.00000255703 |  0.00000762939 |
|  17.0 |  0.93640136719 |  0.93640518188 |  0.93640899658 |  0.00000034803 |  0.00000381470 |
|  18.0 |  0.93640136719 |  0.93640327454 |  0.93640518188 | -0.00000075648 |  0.00000190735 |
|  19.0 |  0.93640327454 |  0.93640422821 |  0.93640518188 | -0.00000020422 |  0.00000095367 |
|  20.0 |  0.93640422821 |  0.93640470505 |  0.93640518188 |  0.00000007190 |  0.00000047684 |
|  21.0 |  0.93640422821 |  0.93640446663 |  0.93640470505 | -0.00000006616 |  0.00000023842 |
|  22.0 |  0.93640446663 |  0.93640458584 |  0.93640470505 |  0.00000000287 |  0.00000011921 |
|  23.0 |  0.93640446663 |  0.93640452623 |  0.93640458584 | -0.00000003164 |  0.00000005960 |


 0.9364045262336731 is root with tol: 5.960464477539063e-08
